ESTADOS,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,ATR,OPA,se,AB_P,FC_P,entao,OPR,fimse,fim,EOF,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
0,S2,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,E-inicio,1,,,,,,,,,,,,,,,
1,E- $Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,E-$Fim de arquivo$,ACC,,,,,,,,,,,,,,,,
2,E-varinicio,S4,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,E-varinicio,,3,,,,,,,,,,,,,,
3,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S9,S10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S15,E-ID-leia-escreva-se-fim,,,,,,,5,6,,7,,,8,12,,
4,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S49,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,S56,S57,S58,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,E-varfim-inteiro-real-literal,,,47,48,,51,,,,,,,,,,
5,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,E- $Fim de arquivo$,R2,,,,,,,,,,,,,,,,
6,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S9,S10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S15,E-ID-leia-escreva-se-fim,,,,,,,14,6,,7,,,8,12,,
7,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S9,S10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S15,E-ID-leia-escreva-se-fim,,,,,,,16,6,,7,,,8,12,,
8,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S11,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S9,S10,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S13,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,E-ID-leia-escreva-se-fim,S15,E-ID-leia-escreva-se-fim,,,,,,,17,6,,7,,,8,12,,
9,E-ID,E-ID,E-ID,E-ID,S18,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,E-ID,,,,,,,,,,,,,,,,
